Date,Open,High,Low,Close,Adj Close,Volume
2000-12-01,1.214286,1.250000,0.973214,1.062500,0.955884,2214742600
2001-01-01,1.062500,1.607143,1.031250,1.544643,1.389647,3427365200
2001-02-01,1.477679,1.566964,1.285714,1.303571,1.172766,1755941600
2001-03-01,1.272321,1.696429,1.227679,1.576429,1.418243,2699765600
2001-04-01,1.577857,1.937143,1.339286,1.820714,1.638017,2789747800
2001-05-01,1.815000,1.907143,1.378571,1.425000,1.282010,1867108600
2001-06-01,1.437857,1.792857,1.382143,1.660714,1.494072,1909566400
2001-07-01,1.688571,1.801429,1.275000,1.342143,1.207467,2163775600
2001-08-01,1.357857,1.421429,1.234286,1.325000,1.192044,1282339800
2001-09-01,1.321429,1.362857,1.048571,1.107857,0.996690,1382880800
2001-10-01,1.106429,1.387143,1.059286,1.254286,1.128425,1886061800
2001-11-01,1.260714,1.539286,1.232143,1.521429,1.368762,1342436200
2001-12-01,1.504286,1.716429,1.435000,1.564286,1.407319,1157459800
2002-01-01,1.575000,1.766429,1.446429,1.765714,1.588535,2128844200
2002-02-01,1.738571,1.855714,1.495714,1.550000,1.394467,1959356000
2002-03-01,1.566429,1.807143,1.558571,1.690714,1.521061,1329645800
2002-04-01,1.670000,1.869286,1.642857,1.733571,1.559618,1605709000
2002-05-01,1.735000,1.855714,1.581429,1.664286,1.497285,1494039400
2002-06-01,1.670714,1.675000,1.141429,1.265714,1.138708,2177004200
2002-07-01,1.265000,1.342143,0.985714,1.090000,0.980625,2029603800
2002-08-01,1.079286,1.160714,0.997857,1.053571,0.947852,1287921600
2002-09-01,1.035000,1.085000,1.003571,1.035714,0.931787,1322959400
2002-10-01,1.042143,1.174286,0.954286,1.147857,1.032676,1652858200
2002-11-01,1.138571,1.241429,1.072143,1.107143,0.996048,1132930400
2002-12-01,1.135714,1.150000,0.984286,1.023571,0.920862,1132609800
2003-01-01,1.025714,1.098571,0.968571,1.025714,0.922790,1511458200
2003-02-01,1.029286,1.092857,0.985714,1.072143,0.964560,1028575800
2003-03-01,1.072143,1.082857,1.002857,1.010000,0.908653,1007101200
2003-04-01,1.014286,1.067857,0.908571,1.015714,0.913794,1943835600
2003-05-01,1.017857,1.357857,1.000000,1.282143,1.153488,2702886200
2003-06-01,1.292857,1.406429,1.187857,1.361429,1.224817,1528333800
2003-07-01,1.347857,1.540714,1.322143,1.505714,1.354625,1304567600
2003-08-01,1.500000,1.632143,1.387143,1.615000,1.452945,1076891200
2003-09-01,1.618571,1.665714,1.439286,1.480000,1.331491,1336871200
2003-10-01,1.479286,1.786429,1.442143,1.635000,1.470938,1760047800
2003-11-01,1.630714,1.664286,1.417857,1.493571,1.343701,1243526200
2003-12-01,1.502857,1.564286,1.375000,1.526429,1.373260,1363468400
2004-01-01,1.539286,1.774286,1.512857,1.611429,1.449731,1981950600
2004-02-01,1.604286,1.721429,1.550000,1.708571,1.537127,1230507600
2004-03-01,1.721429,2.010000,1.685714,1.931429,1.737622,2906528800
2004-04-01,1.920714,2.112857,1.820714,1.841429,1.656652,2232543600
2004-05-01,1.857143,2.055714,1.821429,2.004286,1.803168,1326068800
2004-06-01,1.985000,2.442143,1.972143,2.324286,2.091058,2056808600
2004-07-01,2.292857,2.402143,2.052857,2.310000,2.078205,2424144800
2004-08-01,2.227143,2.512857,2.121428,2.463571,2.216367,2002841400
2004-09-01,2.450000,2.805000,2.442143,2.767857,2.490119,1918376600
2004-10-01,2.794286,3.800000,2.689286,3.742857,3.367284,4023591600
2004-11-01,3.750000,4.969285,3.717143,4.789286,4.308711,4359901000
2004-12-01,4.842143,4.853571,4.400000,4.600000,4.138418,3987153800
2005-01-01,4.627143,5.563571,4.471428,5.492857,4.941682,6427061200
2005-02-01,5.503572,6.491428,5.470000,6.408571,5.765510,5362236600
